time_id,datetime,FEC0,FEC1,FEC2,FEC3
20260625_1925_11,2026-06-25 19:25:11,nan,265.8291231102491,nan,nan
20260625_1925_45,2026-06-25 19:25:45,nan,nan,204.7478000753308,nan
20260625_1926_20,2026-06-25 19:26:20,nan,nan,nan,195.5528678170529
20260625_1931_26,2026-06-25 19:31:26,184.7673309793594,nan,nan,nan
20260625_1932_00,2026-06-25 19:32:00,nan,266.2088310393766,nan,nan
20260625_1932_35,2026-06-25 19:32:35,nan,nan,205.318193641231,nan
20260625_1933_10,2026-06-25 19:33:10,nan,nan,nan,195.65367367466865
20260625_1938_17,2026-06-25 19:38:17,187.60025189241335,nan,nan,nan
20260625_1938_52,2026-06-25 19:38:52,nan,267.43872530245494,nan,nan
20260625_1939_26,2026-06-25 19:39:26,nan,nan,207.3294047189455,nan
20260625_1940_01,2026-06-25 19:40:01,nan,nan,nan,198.3340474484065
20260625_1951_10,2026-06-25 19:51:10,nan,nan,nan,nan
20260625_1951_45,2026-06-25 19:51:45,nan,268.0226108339299,nan,nan
20260625_1952_19,2026-06-25 19:52:19,nan,nan,208.2454158967701,nan
20260625_1952_54,2026-06-25 19:52:54,nan,nan,nan,199.19474424263078
20260625_1958_00,2026-06-25 19:58:00,nan,nan,nan,nan
20260625_1958_35,2026-06-25 19:58:35,nan,268.3882492949609,nan,nan
20260625_1959_09,2026-06-25 19:59:09,nan,nan,208.34058012392856,nan
20260625_1959_44,2026-06-25 19:59:44,nan,nan,nan,199.3530555241649
20260625_2004_52,2026-06-25 20:04:52,nan,nan,nan,nan
20260625_2005_28,2026-06-25 20:05:28,nan,268.00751773840074,nan,nan
20260625_2006_03,2026-06-25 20:06:03,nan,nan,208.62477972018823,nan
20260625_2006_38,2026-06-25 20:06:38,nan,nan,nan,199.45896437750054
20260625_2011_45,2026-06-25 20:11:45,nan,nan,nan,nan
20260625_2012_20,2026-06-25 20:12:20,nan,268.40619537125315,nan,nan
20260625_2012_54,2026-06-25 20:12:54,nan,nan,208.72194636197543,nan
20260625_2013_29,2026-06-25 20:13:29,nan,nan,nan,199.7152470573523
20260625_2018_36,2026-06-25 20:18:36,nan,nan,nan,nan
20260625_2019_10,2026-06-25 20:19:10,nan,267.12978788527226,nan,nan
20260625_2019_45,2026-06-25 20:19:45,nan,nan,206.6627309784692,nan
20260625_2020_20,2026-06-25 20:20:20,nan,nan,nan,197.61857520111326
20260625_2027_00,2026-06-25 20:27:00,187.226089844511,nan,nan,nan
20260625_2027_34,2026-06-25 20:27:34,nan,267.55744641299117,nan,nan
20260625_2028_09,2026-06-25 20:28:09,nan,nan,206.47560589491633,nan
20260625_2028_44,2026-06-25 20:28:44,nan,nan,nan,197.53956438065418
20260625_2033_49,2026-06-25 20:33:49,189.4889072069579,nan,nan,nan
20260625_2034_24,2026-06-25 20:34:24,nan,268.39640895466994,nan,nan
20260625_2035_00,2026-06-25 20:35:00,nan,nan,208.8544183053969,nan
20260625_2044_55,2026-06-25 20:44:55,191.57884214029514,nan,nan,nan
20260625_2045_30,2026-06-25 20:45:30,nan,269.4515225782349,nan,nan
20260625_2046_04,2026-06-25 20:46:04,nan,nan,210.9962377983099,nan
20260625_2046_39,2026-06-25 20:46:39,nan,nan,nan,201.75176003765304
20260625_2051_44,2026-06-25 20:51:44,191.44800034089457,nan,nan,nan
20260625_2052_20,2026-06-25 20:52:20,nan,269.5371690733277,nan,nan
20260625_2052_55,2026-06-25 20:52:55,nan,nan,211.34111683045512,nan
20260625_2053_30,2026-06-25 20:53:30,nan,nan,nan,202.18484454035664
20260625_2109_44,2026-06-25 21:09:44,193.4460508672939,nan,nan,nan
20260625_2110_19,2026-06-25 21:10:19,nan,269.9024968210675,nan,nan
20260625_2110_54,2026-06-25 21:10:54,nan,nan,211.7503493760936,nan
20260625_2111_29,2026-06-25 21:11:29,nan,nan,nan,203.52770931507524
20260625_2116_36,2026-06-25 21:16:36,193.61789641543945,nan,nan,nan
20260625_2117_11,2026-06-25 21:17:11,nan,269.787391173752,nan,nan
20260625_2117_45,2026-06-25 21:17:45,nan,nan,211.5623969658798,nan
20260625_2118_20,2026-06-25 21:18:20,nan,nan,nan,203.84292536935766
20260625_2126_25,2026-06-25 21:26:25,194.62009708109258,nan,nan,nan
20260625_2126_59,2026-06-25 21:26:59,nan,270.26288955038,nan,nan
20260625_2127_34,2026-06-25 21:27:34,nan,nan,212.24027151447984,nan
20260625_2128_08,2026-06-25 21:28:08,nan,nan,nan,204.00478399721004
20260625_2133_14,2026-06-25 21:33:14,194.81975236392879,nan,nan,nan
20260625_2133_49,2026-06-25 21:33:49,nan,270.36107771270116,nan,nan
20260625_2134_24,2026-06-25 21:34:24,nan,nan,212.32780014688137,nan
20260625_2134_59,2026-06-25 21:34:59,nan,nan,nan,204.21052773932138
20260625_2143_30,2026-06-25 21:43:30,195.21876276461626,nan,nan,nan
20260625_2144_06,2026-06-25 21:44:06,nan,270.4013254551645,nan,nan
20260625_2144_41,2026-06-25 21:44:41,nan,nan,nan,nan
20260625_2145_16,2026-06-25 21:45:16,nan,nan,nan,204.31059096050333
20260625_2150_22,2026-06-25 21:50:22,195.43273807338053,nan,nan,nan
20260625_2150_57,2026-06-25 21:50:57,nan,270.1401086584933,nan,nan
20260625_2151_32,2026-06-25 21:51:32,nan,nan,nan,nan
20260625_2152_07,2026-06-25 21:52:07,nan,nan,nan,204.45840666787976
20260625_2217_17,2026-06-25 22:17:17,196.1437165763918,nan,nan,nan
20260625_2217_52,2026-06-25 22:17:52,nan,271.60916982044625,nan,nan
20260625_2218_27,2026-06-25 22:18:27,nan,nan,213.13623204038896,nan
20260625_2219_01,2026-06-25 22:19:01,nan,nan,nan,204.83764042337174
20260625_2226_25,2026-06-25 22:26:25,196.35146987371417,nan,nan,nan
20260625_2227_01,2026-06-25 22:27:01,nan,271.09002759646233,nan,nan
20260625_2227_36,2026-06-25 22:27:36,nan,nan,213.2889450154361,nan
20260625_2228_11,2026-06-25 22:28:11,nan,nan,nan,204.98702864399132
20260625_2235_35,2026-06-25 22:35:35,196.33543549555387,nan,nan,nan
20260625_2236_10,2026-06-25 22:36:10,nan,271.1430589616181,nan,nan
20260625_2236_45,2026-06-25 22:36:45,nan,nan,213.48190413965122,nan
20260625_2237_20,2026-06-25 22:37:20,nan,nan,nan,205.1745301938142
20260625_2248_10,2026-06-25 22:48:10,196.5776695985508,nan,nan,nan
20260625_2248_45,2026-06-25 22:48:45,nan,271.37349373832075,nan,nan
20260625_2249_19,2026-06-25 22:49:19,nan,nan,213.663888405807,nan
20260625_2249_54,2026-06-25 22:49:54,nan,nan,nan,205.8599665830491
20260625_2257_16,2026-06-25 22:57:16,196.67111618757295,nan,nan,nan
20260625_2257_51,2026-06-25 22:57:51,nan,271.1728315195,nan,nan
20260625_2258_26,2026-06-25 22:58:26,nan,nan,213.7847837601457,nan
20260625_2259_00,2026-06-25 22:59:00,nan,nan,nan,205.42807109607406
20260625_2306_23,2026-06-25 23:06:23,196.8588039305469,nan,nan,nan
20260625_2306_58,2026-06-25 23:06:58,nan,271.23953628982446,nan,nan
20260625_2307_33,2026-06-25 23:07:33,nan,nan,213.7790151631314,nan
20260625_2308_08,2026-06-25 23:08:08,nan,nan,nan,205.54675884088496
20260625_2317_12,2026-06-25 23:17:12,196.84523753610063,nan,nan,nan
20260625_2317_47,2026-06-25 23:17:47,nan,271.4106682381948,nan,nan
20260625_2318_20,2026-06-25 23:18:20,nan,nan,214.1368386595904,nan
20260625_2331_38,2026-06-25 23:31:38,197.38291811318246,nan,nan,nan
20260625_2332_13,2026-06-25 23:32:13,nan,271.49978781634314,nan,nan
20260625_2332_47,2026-06-25 23:32:47,nan,nan,214.29654702411955,nan
20260625_2333_22,2026-06-25 23:33:22,nan,nan,nan,206.0800402063363
20260625_2346_16,2026-06-25 23:46:16,197.56707841577392,nan,nan,nan
